,Symbol,Exchange,Volume,Volume %,+2% Depth,-2% Depth,Base,Quote
1361,MATIC/USDT,BitWell,5465637.0,0.66,103124.41,78457.32,MATIC,USDT
1362,MATIC/USDT,Crypto.com Exchange,5118167.0,0.62,778413.36,861954.05,MATIC,USDT
1363,MATIC/USDT,BitZ,4684629.0,0.56,99457.96,96827.5,MATIC,USDT
1364,MATIC/USDT,Deepcoin,3684829.0,0.44,284665.96,307507.88,MATIC,USDT
1365,MATIC/USDT,AAX,2645345.0,0.32,261987.52,312545.06,MATIC,USDT
1366,MATIC/USDT,LBank,2059780.0,0.25,153923.55,330593.47,MATIC,USDT
1367,MATIC/USDT,Dex-Trade,2040949.0,0.25,3552.63,3757.39,MATIC,USDT
1368,MATIC/USDT,AscendEX (Bitmax),1680979.0,0.2,596522.48,398729.91,MATIC,USDT
1369,MATIC/USDT,BtcTurk | Pro,1406166.0,0.17,179669.85,175809.67,MATIC,USDT
1370,MATIC/USDT,ZB.COM,1261312.0,0.15,166519.85,186077.62,MATIC,USDT
1371,MATIC/USDT,CoinEx,1188778.0,0.14,85030.92,106855.38,MATIC,USDT
1372,MATIC/USDT,GokuMarket,738661.0,0.09,83664.25,126601.28,MATIC,USDT
1373,MATIC/USDT,XT.COM,675915.0,0.08,22404.05,356070.99,MATIC,USDT
1374,MATIC/USDT,ProBit Global,289406.0,0.03,909.01,2132.31,MATIC,USDT
1375,MATIC/USDT,Poloniex,232428.0,0.03,82260.91,75498.02,MATIC,USDT
1376,MATIC/USDT,WazirX,192499.0,0.02,5265.11,8290.28,MATIC,USDT
1377,MATIC/USDT,Bittrex,152769.0,0.02,67377.39,62964.7,MATIC,USDT
1378,MATIC/USDT,Coinlist Pro,19841.0,0.0,132685.94,227022.87,MATIC,USDT
1379,MATIC/WBNB,PancakeSwap (V2),120356.0,0.01,-,-,MATIC,WBNB
1380,MATIC/WETH,Uniswap (V2),468269.0,0.06,-,-,MATIC,WETH
1381,MATIC/WRX,WazirX,37543.0,0.0,3214.29,2036.25,MATIC,WRX
1382,MBOX/BNB,Binance,509781.0,0.03,16776.72,72900.8,MBOX,BNB
1383,MINA/BNB,Binance,452503.0,0.02,20401.47,36307.16,MINA,BNB
1384,MIR/BTC,Coinbase Exchange,10794698.0,0.03,54393.55,8720.12,MIR,BTC
1385,MKR/VET,OceanEx,1212992.0,0.24,649.84,1812.81,MKR,VET
1386,NEAR/BNB,Binance,492169.0,0.02,15972.24,79973.37,NEAR,BNB
1387,NEO/BNB,Binance,641766.0,0.03,20240.05,62504.77,NEO,BNB
1388,NU/BNB,Binance,650814.0,0.03,35928.24,29881.17,NU,BNB
1389,OCE/VET,OceanEx,117912.0,0.02,-,401.82,OCE,VET
