Exchange,Symbol,Price,+2% Depth,-2% Depth,Volume,Volume %,Confidence,Liquidity,Updated,Base,Quote
Bithumb,ETH/KRW,3679.9,2996357.73,2035713.43,89885553.0,0.47,High,354.0,Recently,ETH,KRW
Bitfinex,ETH/USD,3599.8,11808802.79,14906767.36,85311629.0,0.44,High,614.0,Recently,ETH,USD
Binance.US,ETH/USD,3598.13,2845956.5,4281104.25,83987169.0,0.44,High,631.0,Recently,ETH,USD
bitFlyer,ETH/JPY,3588.9,1911821.53,1703921.38,67487765.0,0.35,High,333.0,Recently,ETH,JPY
Coinbase Exchange,ETH/BTC,3604.08,3942125.12,3281649.8,65236543.0,0.34,High,572.0,Recently,ETH,BTC
Bitstamp,ETH/USD,3599.61,5138438.7,5083601.38,60530128.0,0.32,High,407.0,Recently,ETH,USD
FTX US,ETH/USD,3596.7,19691329.89,22960080.5,60243110.0,0.31,High,538.0,Recently,ETH,USD
Coinbase Exchange,ETH/EUR,3600.63,1431222.03,1242548.94,55542516.0,0.29,High,626.0,Recently,ETH,EUR
FTX US,ETH/USDT,3598.82,20400596.66,23366259.21,51526121.0,0.27,Moderate,408.0,Recently,ETH,USDT
Binance,ETH/USDC,3595.93,1714040.28,1272585.9,47557732.0,0.25,High,510.0,Recently,ETH,USDC
Kraken,ETH/EUR,3595.23,17846487.24,10797379.04,46251222.0,0.24,High,746.0,Recently,ETH,EUR
Gemini,ETH/USD,3597.59,12842578.73,8751147.38,46240366.0,0.24,High,478.0,Recently,ETH,USD
Gate.io,ETH/USD,3597.4,261978.14,342686.35,37347801.0,0.19,High,263.0,Recently,ETH,USD
Kraken,ETH/XBT,3601.92,4376984.11,5178596.44,31501518.0,0.16,High,614.0,Recently,ETH,XBT
Poloniex,ETH/USDT,3596.52,1396102.98,1394217.98,31493741.0,0.16,High,485.0,Recently,ETH,USDT
Huobi Global,ETH/BTC,3604.51,2540586.03,1588630.88,30898602.0,0.16,High,711.0,Recently,ETH,BTC
Kraken,ETH/USDT,3598.07,2032814.48,1977037.57,30587095.0,0.16,High,599.0,Recently,ETH,USDT
